4 1 || 5 | 5 | 1 
9 3 || c | c | 1 
d d || a | a | 1 
5 2 || 7 | 7 | 1 
1 d || e | e | 1 
6 d || 3 | 3 | 1 
d c || 9 | 9 | 1 
9 6 || f | f | 1 
5 a || f | f | 1 
5 7 || c | c | 1 
2 f || 1 | 1 | 1 
2 e || 0 | 0 | 1 
8 5 || d | d | 1 
c d || 9 | 9 | 1 
d 5 || 2 | 2 | 1 
3 a || d | d | 1 
0 0 || 0 | 0 | 1 
a d || 7 | 7 | 1 
6 3 || 9 | 9 | 1 
d 3 || 0 | 0 | 1 
b 5 || 0 | 0 | 1 
2 e || 0 | 0 | 1 
d f || c | c | 1 
3 a || d | d | 1 
a c || 6 | 6 | 1 
2 a || c | c | 1 
1 8 || 9 | 9 | 1 
8 9 || 1 | 1 | 1 
b 6 || 1 | 1 | 1 
6 e || 4 | 4 | 1 
c a || 6 | 6 | 1 
b 1 || c | c | 1 
5 f || 4 | 4 | 1 
b a || 5 | 5 | 1 
e 5 || 3 | 3 | 1 
1 9 || a | a | 1 
2 c || e | e | 1 
f f || e | e | 1 
8 7 || f | f | 1 
f c || b | b | 1 
b 9 || 4 | 4 | 1 
9 0 || 9 | 9 | 1 
7 1 || 8 | 8 | 1 
6 c || 2 | 2 | 1 
2 8 || a | a | 1 
7 d || 4 | 4 | 1 
2 e || 0 | 0 | 1 
d 9 || 6 | 6 | 1 
f 3 || 2 | 2 | 1 
5 8 || d | d | 1 
b 9 || 4 | 4 | 1 
f a || 9 | 9 | 1 
8 6 || e | e | 1 
e c || a | a | 1 
a 6 || 0 | 0 | 1 
3 3 || 6 | 6 | 1 
f 3 || 2 | 2 | 1 
f 4 || 3 | 3 | 1 
7 b || 2 | 2 | 1 
6 a || 0 | 0 | 1 
9 d || 6 | 6 | 1 
a 5 || f | f | 1 
5 f || 4 | 4 | 1 
9 4 || d | d | 1 
0 a || a | a | 1 
b e || 9 | 9 | 1 
c a || 6 | 6 | 1 
d 3 || 0 | 0 | 1 
6 e || 4 | 4 | 1 
7 a || 1 | 1 | 1 
6 8 || e | e | 1 
9 8 || 1 | 1 | 1 
4 3 || 7 | 7 | 1 
4 9 || d | d | 1 
b d || 8 | 8 | 1 
9 d || 6 | 6 | 1 
6 a || 0 | 0 | 1 
6 5 || b | b | 1 
6 4 || a | a | 1 
7 9 || 0 | 0 | 1 
4 8 || c | c | 1 
8 d || 5 | 5 | 1 
7 e || 5 | 5 | 1 
8 c || 4 | 4 | 1 
d 9 || 6 | 6 | 1 
c 6 || 2 | 2 | 1 
a d || 7 | 7 | 1 
6 0 || 6 | 6 | 1 
3 a || d | d | 1 
e a || 8 | 8 | 1 
5 a || f | f | 1 
9 7 || 0 | 0 | 1 
6 0 || 6 | 6 | 1 
6 6 || c | c | 1 
d c || 9 | 9 | 1 
6 8 || e | e | 1 
e b || 9 | 9 | 1 
f 9 || 8 | 8 | 1 
a 1 || b | b | 1 
7 1 || 8 | 8 | 1 
6 0 || 6 | 6 | 1 
5 5 || a | a | 1 
9 1 || a | a | 1 
5 8 || d | d | 1 
b 3 || e | e | 1 
c a || 6 | 6 | 1 
e 8 || 6 | 6 | 1 
9 1 || a | a | 1 
e 6 || 4 | 4 | 1 
f a || 9 | 9 | 1 
a d || 7 | 7 | 1 
e 8 || 6 | 6 | 1 
9 8 || 1 | 1 | 1 
a 3 || d | d | 1 
b 7 || 2 | 2 | 1 
6 a || 0 | 0 | 1 
4 9 || d | d | 1 
2 4 || 6 | 6 | 1 
f 6 || 5 | 5 | 1 
a 2 || c | c | 1 
2 d || f | f | 1 
4 4 || 8 | 8 | 1 
a 9 || 3 | 3 | 1 
1 e || f | f | 1 
b b || 6 | 6 | 1 
f 9 || 8 | 8 | 1 
6 5 || b | b | 1 
f b || a | a | 1 
